"出荷予定日","ピッキングNo","配送便種","商品コード","出荷予定数","品名","送付先郵便番号","送付先住所1","送付先名","納品書No","熨斗フラグ","熨斗コード","顧客コード","注文番号","熨斗名称","熨斗氏名","配達指定日"
"2026/04/20","SA01208930001","ヤマト運輸","7000",2,"定期ﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","小川　政子","00059544940001",,,"000000357268","0005954494",,,"2026/04/21"
"2026/04/20","SA01208930002","ＪＰ（ゆうパック）","7000",3,"定期ﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","挾間　宏樹","00059544360001",,,"000000028436","0005954436",,,
"2026/04/20","SB01208930003","ヤマト運輸","70001",2,"定期Ｍﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","沼田　カズ江","00059544760001",,,"000001294287","0005954476","エアパック",,"2026/04/21"
"2026/04/20","SB01208930004","ヤマト運輸","70001",2,"定期Ｍﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","君成田　登代子","00059543910001",,,"000000922647","0005954391",,,"2026/04/21"
"2026/04/20","SB01208930005","ＪＰ（ゆうパック）","70001",5,"定期Ｍﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","内田　篤","00059510020001",,,"000000482718","0005951002",,,"2026/04/21"
"2026/04/20","SB01208930005","ＪＰ（ゆうパック）","6036-10",1,"◆八頭ばうむ　いち輪【製品数】","680-041","鳥取県八頭郡八頭町橋本８７７","内田　篤","00059510020001",,,"000000482718","0005951002",,,"2026/04/21"
"2026/04/20","SS01208930006","ヤマト運輸","7002",3,"進物用ﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","佐藤　雪枝","00059543910002",,,"000000922647","0005954391",,,"2026/04/21"
"2026/04/20","SS01208930007","ヤマト運輸","70044",5,"若たまごﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","斉藤　育代","00059543840001",,,"000000318034","0005954384",,,"2026/04/21"
"2026/04/20","SS01208930008","ヤマト運輸","70044",5,"若たまごﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","吉田　正子","00059543920001",,,"000001221899","0005954392",,,"2026/04/21"
"2026/04/20","SS01208930009","ヤマト運輸","7003",1,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","塚田　秀子","00059545030001",,,"000000457942","0005954503",,,
