"出荷予定日","ピッキングNo","配送便種","商品コード","出荷予定数","品名","送付先郵便番号","送付先住所1","送付先名","納品書No","熨斗フラグ","熨斗コード","顧客コード","注文番号","熨斗名称","熨斗氏名","配達指定日"
"2026/04/20","SC01208850001","ヤマト運輸","7003",2,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","住吉　己幸","00059542930001",,,"000001034263","0005954293",,,"2026/04/21"
"2026/04/20","SC01208850002","ヤマト運輸","7003",3,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","金澤　都","00059534380001",,,"000000791752","0005953438",,,"2026/04/21"
"2026/04/20","SC01208850003","ヤマト運輸","7003",3,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","松原　登","00059542340001",,,"000000718482","0005954234",,,"2026/04/21"
"2026/04/20","SC01208850004","ヤマト運輸","7003",4,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","髙田　節子","00059539720001",,,"000000193217","0005953972",,,"2026/04/21"
"2026/04/20","SC01208850005","ＪＰ（ゆうパック）","7003",4,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","阪口　安司","00059542940001",,,"000000975110","0005954294",,,"2026/04/21"
"2026/04/20","SC01208850006","ＪＰ（ゆうパック）","7005",1,"御礼ｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","濱田　瑞恵","00059543230003",,,"000000462343","0005954323",,,
"2026/04/20","SC01208850006","ＪＰ（ゆうパック）","7011",2,"自宅用Ｍｻｲｽﾞ15小箱","680-041","鳥取県八頭郡八頭町橋本８７７","濱田　瑞恵","00059543230003",,,"000000462343","0005954323",,,
"2026/04/20","SS01208850007","ヤマト運輸","70044",5,"若たまごﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","山下　芳三","00059540040001",,,"000001309412","0005954004",,,"2026/04/21"
"2026/04/20","SS01208850008","ヤマト運輸","70044",10,"若たまごﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","池田　満","00059543200001",,,"000000825924","0005954320",,,"2026/04/21"
"2026/04/20","SS01208850009","ＪＰ（ゆうパック）","7002",2,"進物用ﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","宝野　研二","00059540810001",,,"000001288381","0005954081",,,"2026/04/21"
"2026/04/20","SS01208850010","ＪＰ（ゆうパック）","70044",5,"若たまごﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","大江　定子","00059539660001",,,"000000583665","0005953966",,,"2026/04/21"
"2026/04/20","SS01208850011","ＪＰ（ゆうパック）","70044",5,"若たまごﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","向田　八重子","00059543210001",,,"000000748109","0005954321",,,"2026/04/21"
"2026/04/20","SS01208850012","ＪＰ（ゆうパック）","7012",2,"進物用15小箱","680-041","鳥取県八頭郡八頭町橋本８７７","山口　和成","00059543230001",,,"000000462343","0005954323",,,
"2026/04/20","SS01208850013","ＪＰ（ゆうパック）","7012",2,"進物用15小箱","680-041","鳥取県八頭郡八頭町橋本８７７","山崎　哲男","00059543230002",,,"000000462343","0005954323",,,
"2026/04/20","SM01208850014","ヤマト運輸","7003",3,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","佐野　幸子","00059540030001",,,"000001360113","0005954003",,,"2026/04/21"
"2026/04/20","SM01208850015","ＪＰ（ゆうパック）","7003",2,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","西川　洋","00059540020001",,,"000001360114","0005954002",,,"2026/04/21"
"2026/04/20","SM01208850016","ＪＰ（ゆうパック）","7003",3,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","石垣　千代子","00059534400001",,,"000001360070","0005953440",,,
"2026/04/20","SM01208850017","ＪＰ（ゆうパック）","7003",2,"Ｍｻｲｽﾞﾊﾟｯｸ","680-041","鳥取県八頭郡八頭町橋本８７７","池田　美佐","00059542550001",,,"000001360243","0005954255",,,
"2026/04/20","SV01208850018","ＪＰ（ゆうパック）","7152",2,"玉子丼5食入箱【数量】","680-041","鳥取県八頭郡八頭町橋本８７７","阿部　万寿雄","00059543020001",,,"000001337580","0005954302",,,
"2026/04/20","SV01208850019","ＪＰ（ゆうパック）","6050-1",1,"特撰ばうむセット【製品数】","680-041","鳥取県八頭郡八頭町橋本８７７","ＪＡ全農とっとり　内外流通課","00059523060001",,,"000000544841","0005952306",,,
"2026/04/20","SR01208850020","ＪＰ（ゆうパック）","26105-1",1,"[冷凍]粗挽きｿｰｾｰｼﾞ【製品数】","680-041","鳥取県八頭郡八頭町橋本８７７","お届け用","00059411670001",,,"000001244040","0005941167",,,
"2026/04/20","SR01208850020","ＪＰ（ゆうパック）","26115-1",1,"[冷凍]ハーブソーセージ数量【製品数】","680-041","鳥取県八頭郡八頭町橋本８７７","お届け用","00059411670001",,,"000001244040","0005941167",,,
"2026/04/20","SR01208850020","ＪＰ（ゆうパック）","26125-1",1,"[冷凍]ニュールンベルガー【製品数】","680-041","鳥取県八頭郡八頭町橋本８７７","お届け用","00059411670001",,,"000001244040","0005941167",,,
